postId	champ	balise	hote	url
1122	corpsHtml	lien	operacritiques.free.fr	http://operacritiques.free.fr/css/sons/dlm_dardanus_.mp3
1133	corpsHtml	object	operacritiques.free.fr	http://operacritiques.free.fr/css/dewplayer.swf?son=http://operacritiques.free.fr/css/sons/ernst_toch_fugue_geographie.mp3
1134	corpsHtml	object	operacritiques.free.fr	http://operacritiques.free.fr/css/dewplayer.swf?son=http://operacritiques.free.fr/css/sons/orlowski.mp3
1137	corpsHtml	object	operacritiques.free.fr	http://operacritiques.free.fr/css/dewplayer.swf?son=http://operacritiques.free.fr/css/sons/france_24.mp3
1138	chapoHtml	object	operacritiques.free.fr	http://operacritiques.free.fr/css/dewplayer.swf?son=http://operacritiques.free.fr/css/sons/hamerik_1b.mp3
1138	chapoHtml	object	operacritiques.free.fr	http://operacritiques.free.fr/css/dewplayer.swf?son=http://operacritiques.free.fr/css/sons/nielsen_1a.mp3
1146	corpsHtml	object	operacritiques.free.fr	http://operacritiques.free.fr/css/dewplayer.swf?son=http://operacritiques.free.fr/css/sons/walkuere_css.mp3
1146	corpsHtml	object	operacritiques.free.fr	http://operacritiques.free.fr/css/dewplayer.swf?son=http://operacritiques.free.fr/css/sons/valkyrie_css.mp3
1149	chapoHtml	img	graphics8.nytimes.com	http://graphics8.nytimes.com/images/2005/07/28/arts/Eichler184.jpg
1151	chapoHtml	img	www.kv-staatsopernchor.at	http://www.kv-staatsopernchor.at/breitwand/gezeichneten_salz05_uhlig.jpg
1151	chapoHtml	embed	www.youtube.com	http://www.youtube.com/v/_IMU4rfCUtE&hl=fr&fs=1
1152	corpsHtml	object	operacritiques.free.fr	http://operacritiques.free.fr/css/dewplayer.swf?son=http://operacritiques.free.fr/css/sons/herode_antipas.mp3
1153	corpsHtml	img	ecx.images-amazon.com	http://ecx.images-amazon.com/images/I/51NewJ7K1pL._SL500_AA240_.jpg
1155	corpsHtml	img	www.jpc.de	http://www.jpc.de/cmsimage/id/1085935.jpg
1156	chapoHtml	embed	www.wat.tv	http://www.wat.tv/swf2/588577CRhHv0y2162842
1157	corpsHtml	object	operacritiques.free.fr	http://operacritiques.free.fr/css/dewplayer.swf?son=http://operacritiques.free.fr/css/sons/kolossal.mp3
1158	chapoHtml	img	www.signandsight.com	http://www.signandsight.com/cdata/artikel/285/66_gezei31xxxx.jpg
1159	corpsHtml	img	images-jp.amazon.com	http://images-jp.amazon.com/images/P/B0000255ES.09.MZZZZZZZ.jpg
1160	chapoHtml	img	ecx.images-amazon.com	http://ecx.images-amazon.com/images/I/51X6CA8JCDL._SL500_AA240_.jpg
1160	chapoHtml	object	operacritiques.free.fr	http://operacritiques.free.fr/css/dewplayer.swf?son=http://operacritiques.free.fr/css/sons/chopin_nocturne_garrick_ohlsson.mp3
1161	corpsHtml	img	www.playbillarts.com	http://www.playbillarts.com/images/photos/SvetlanovA200.jpg
1163	chapoHtml	object	operacritiques.free.fr	http://operacritiques.free.fr/css/dewplayer.swf?son=http://operacritiques.free.fr/css/sons/tiefland.mp3
1163	chapoHtml	img	www.esounds.com	http://www.esounds.com/esounds/img/packshots/5099923448292-lf.jpg
1164	chapoHtml	img	ecx.images-amazon.com	http://ecx.images-amazon.com/images/I/51XGXXBMC7L._SL500_AA240_.jpg
1166	corpsHtml	embed	www.youtube.com	http://www.youtube.com/v/onJb-F-KQ&hl=fr&fs=1
1166	notesHtml	embed	www.youtube.com	http://www.youtube.com/v/onJb-F-KQ&hl=fr&fs=1
1167	corpsHtml	img	expositions.bnf.fr	http://expositions.bnf.fr/voix/images/img_ecoute/04.png
1167	corpsHtml	img	expositions.bnf.fr	http://expositions.bnf.fr/voix/images/img_ecoute/15.png
1167	corpsHtml	img	expositions.bnf.fr	http://expositions.bnf.fr/voix/images/img_ecoute/08.png
1169	corpsHtml	img	www.cuartetoquiroga.com	http://www.cuartetoquiroga.com/es/system/files/images/quiroga1.preview.jpg
1173	corpsHtml	object	operacritiques.free.fr	http://operacritiques.free.fr/css/dewplayer.swf?son=http://operacritiques.free.fr/css/sons/pelleas_boris_1.mp3
1173	corpsHtml	object	operacritiques.free.fr	http://operacritiques.free.fr/css/dewplayer.swf?son=http://operacritiques.free.fr/css/sons/pelleas_boris_2.mp3
1173	chapoHtml	object	operacritiques.free.fr	http://operacritiques.free.fr/css/dewplayer.swf?son=http://operacritiques.free.fr/css/sons/boris_acte_1.mp3
1174	chapoHtml	img	multimedia.fnac.com	http://multimedia.fnac.com/multimedia/images_produits/ZoomPE/1/7/5/0028947780571.jpg
1181	corpsHtml	img	multimedia.fnac.com	http://multimedia.fnac.com/multimedia/images_produits/ZoomPE/5/2/9/0636943111925.jpg
1181	corpsHtml	object	operacritiques.free.fr	http://operacritiques.free.fr/css/dewplayer.swf?son=http://musicontempo.free.fr/pastropbien.mp3
1181	corpsHtml	lien	209.85.229.132	http://209.85.229.132/search?q=cache:a7VSXDZDsGIJ:www.revues-plurielles.org/_uploads/pdf/12_85_9.pdf
1181	chapoHtml	img	ecx.images-amazon.com	http://ecx.images-amazon.com/images/I/41A0PDFG58L._SL500_AA240_.jpg
1182	corpsHtml	img	www.brunodelaigue.com	http://www.brunodelaigue.com/images/peer_gynt_mars_2009_actu.jpg
1183	chapoHtml	img	ecx.images-amazon.com	http://ecx.images-amazon.com/images/I/41G1J4G5W8L._SL500_AA240_.jpg
1187	corpsHtml	embed	www.youtube.com	http://www.youtube.com/v/3Qb8P-l8t3s&hl=fr&fs=1
1187	corpsHtml	embed	www.youtube.com	http://www.youtube.com/v/vzQgbhnbf_I&hl=fr&fs=1
1188	corpsHtml	img	graphics.musicme.com	http://graphics.musicme.com/jpg343/u0795041964229.jpg
